S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,S_IS,S_SO4,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,X_hSRB,S_cation,S_anion,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_HS_ion,S_co2,S_H2S,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2,S_gas_H2S,pH,t
0.012394,0.0055432,0.10740999999999999,0.012333,0.014003,0.017584,1.35,1e-05,0.0,0.095149,0.094468,0.13087000000000001,2.51e-07,0.012394,0.10792,0.020516999999999997,0.08422,0.043629,0.31222,0.9316700000000001,0.33839,0.33576999999999996,0.10112,0.67724,0.28484,17.2162,0.67724,1.0799999999999999e-47,0.0052101000000000005,5.46e-08,0.012284,0.013953,0.017511000000000002,0.089035,0.0008568,0.0,0.007608,0.0,0.001884,0.092584,1e-05,0.0,0.007608,0.0,7.262807357295263,0.0
0.01230088071618851,0.005273334212746916,0.10991167193863499,0.01314792409036262,0.015039834563709066,0.018471396065641268,1.3326138281144078,2.389817817246814e-07,0.03840179091625377,0.07516939407027051,0.0944914111571879,0.13092403508000378,0.002981863717153733,0.012347412301294474,0.1081122778783483,0.018666461988459716,0.07630443661708204,0.0394930171460516,0.31238345477942187,0.9321470044523186,0.33840900558176673,0.3358318848403985,0.10112057738699952,0.6782890030090412,0.28832073073471814,17.21630807016001,0.6776347433327123,1.0799999999999999e-47,0.0052101000000000005,5.291540159209822e-08,0.013097715543677097,0.014987437195656475,0.018397547505940175,1.3285683858223272,0.06720777139993203,0.0,0.00796162267033848,0.002981863717153733,0.0009936175775298276,0.09349779357965807,8.875900216519353e-05,0.2412105488661783,0.076635390676457,0.0,7.27641790352362,0.010005002501250625
0.012042799174565534,0.004825607540541658,0.1093168356688814,0.012907632838674276,0.014723628067272967,0.018403430962945375,1.3111657623333073,0.0003957496613403291,0.03559310881228195,0.08086683465613975,0.09452885889844309,0.13097816633663686,0.003149029110936146,0.012344800342016626,0.10830440880893552,0.01699229275636106,0.0691426800111169,0.03575082156862012,0.31254378681025685,0.9325778574481294,0.33859133615005965,0.3360224496692732,0.10117695520750417,0.6797165874653226,0.28846284647967274,17.21641633267328,0.6775288905961062,1.0799999999999999e-47,0.0052101000000000005,8.473778044268637e-08,0.012828880070289561,0.01464165573807044,0.018285888939692165,1.3048033451017718,0.06797221574620982,0.0015457028446422523,0.012894618909929934,0.0016033262662938936,0.0006231818041987908,0.0939056770942443,5.876001008084633e-05,0.6362242623974957,0.01520867244284788,0.054349906948999764,7.071922915767149,0.02001000500250125
0.011663946053322933,0.004376484154611382,0.11249627413168024,0.014347558790167714,0.016596772414674735,0.01926166783715906,1.2791260941201203,0.00049189967605548,0.09450287045131012,0.07991731314228402,0.09452594148792319,0.1310323936942235,0.008043242417733765,0.012268328259097912,0.10849669711550493,0.015477700470638693,0.0626629617214816,0.032364921373415886,0.31269844454407575,0.9329541937296484,0.33852689016035725,0.3359620265696174,0.10115744219994237,0.6813574011826572,0.2944146987304434,17.216524787388455,0.6782637101231145,1.0799999999999999e-47,0.0052101000000000005,7.549425582093314e-08,0.014269517722257194,0.016514400960455387,0.019151987755819232,1.2735932979184963,0.06836320737867208,0.0008771996481846333,0.011554105763611947,0.007166042769549132,0.0006988985202570343,0.09382704296766615,0.007253786147353909,1.4183638728805836,0.013377155352378262,0.06378045590351784,7.12208609155195,0.030015007503751877
0.011199701908039872,0.003961579366135258,0.11537917444400178,0.01565569784997581,0.018311929542479587,0.020071708693621324,1.2476976766043093,0.0005779750845911577,0.1286170409599015,0.07871609846944766,0.0945182261120748,0.13108671743993722,0.012956484354374768,0.012191558853837896,0.10868976925739575,0.014107492705570815,0.05680034690115031,0.029301394064038176,0.3128455801664734,0.9332783696479445,0.33846187467424343,0.3359008644021616,0.1011378129965291,0.6829532311965292,0.30051051594077355,17.216633434879885,0.6790017666494781,1.0799999999999999e-47,0.0052101000000000005,6.541544419237588e-08,0.015581856522463352,0.01823312677922782,0.01997259928528632,1.2430186239717478,0.06866091737942819,0.0041729367642377845,0.010055181090019474,0.008783547590136984,0.0008055969764627244,0.09371262913561208,0.011717235190036084,2.115800434933041,0.011418765006510812,0.14880839253799863,7.1843197052585435,0.0400200100050025
0.01067830854107417,0.0035853894879630346,0.11799096110470221,0.016841250586295087,0.019878027979855144,0.02083288502948158,1.2172826693651666,0.0005872336326685215,0.14554109459455403,0.07725899899577203,0.09450621468378094,0.1311411379666065,0.017880302580074444,0.012114624194061337,0.10888362737845034,0.012867923669696118,0.05149608320611173,0.02652954674298081,0.3129838992599217,0.9335547357596239,0.33839651378051633,0.33583925209621884,0.10111811450809882,0.6844850230125098,0.3067458670660022,17.216742275933225,0.6797415563760661,1.0799999999999999e-47,0.0052101000000000005,5.4154352996397476e-08,0.016775438259363326,0.01980715910111711,0.020747653094258977,1.213501087198317,0.06890517687791367,0.005511104902155159,0.008353822117858359,0.012369197677919285,0.0009712712119173895,0.09353494347186354,0.013325575154123071,2.38577522456986,0.009441960875084723,0.1906038721917219,7.26636662848772,0.05002501250625312
0.01012210558312031,0.003245744882823352,0.12035202891671976,0.01791053925555598,0.021300187794269832,0.021546396291514138,1.1885268868284635,0.0005717068838222105,0.15302807170025834,0.07575198450846551,0.09449050610478679,0.13119565566680516,0.022802982063813013,0.012037707327127922,0.10907826779889447,0.011746556278209933,0.046697011975905464,0.02402160865683824,0.3131125523551005,0.9337877275105209,0.33833116672551106,0.33577793990661475,0.10109842716406456,0.6859219608957934,0.3131118457981774,17.21685131133362,0.680480995572759,1.0799999999999999e-47,0.0052101000000000005,4.346862837078606e-08,0.017854315591669726,0.021239190034222262,0.021475582005802324,1.1855613728366396,0.06903400032909586,0.00837667368794413,0.006717984179369654,0.014426308375868883,0.0012067850603283057,0.09328372104445849,0.01354804201876952,2.5111593436731674,0.007521166224776764,0.25122726618342167,7.361824063522001,0.060030015007503754
0.009548592850915718,0.0029393331044636076,0.12248462591472299,0.018872934510523718,0.022588080489007203,0.022213602166383503,1.1619726638224546,0.0005472143365748226,0.15669746215165137,0.0742319295814871,0.09447159850082383,0.13125027092963426,0.02771633709078843,0.011960936154831429,0.10927368074749536,0.010732137547696403,0.042355035664936785,0.021752453007906552,0.3132310424665962,0.9339814660230163,0.338265930808131,0.33571714075343834,0.10107877328371798,0.6872379709758182,0.31960783406727145,17.216960541859276,0.6812186285745954,1.0799999999999999e-47,0.0052101000000000005,3.3675212241110486e-08,0.018827005025065124,0.022537935853359153,0.0221570015280359,1.1597253408640982,0.06902795296886442,0.010535986422968642,0.005203976612622674,0.01718035066781979,0.0015516670544502278,0.0929199314463736,0.01329807670274802,2.5881702990835445,0.005727858681720613,0.30173723826800963,7.472689658415589,0.07003501750875438
0.008971309978037374,0.002662888160754072,0.12440962970241373,0.019737639394117802,0.023751663223355608,0.02283621138701206,1.1381971482986313,0.0005203852317419021,0.1587386934884253,0.07269551855484868,0.09444995777837685,0.1313049841381099,0.032614321398978754,0.011884405150015955,0.10946985167073446,0.009814485855425324,0.03842663597967395,0.019699345246729838,0.3133391495992728,0.934139701574475,0.33820084917970894,0.3356569547658284,0.10105916315605637,0.6884051202174044,0.326234939296748,17.217069968276228,0.6819533804849025,1.0799999999999999e-47,0.0052101000000000005,2.5238544721426728e-08,0.019701617529203377,0.023712123397172963,0.022792574105740572,1.136546511500447,0.06880773929479253,0.013456472005025456,0.003887779260056151,0.019157849393953298,0.0020585771482925065,0.09239138063008434,0.012860651528411518,2.6420425273857173,0.0040657275950682185,0.3605608672327578,7.597935690540228,0.080040020010005
0.00840056931001721,0.0024134220067104696,0.12614621862563224,0.02051325974927218,0.024800543919243113,0.02341620074815959,1.1176725517995036,0.0004932678048558965,0.15985654686918485,0.07112223924779944,0.09442598503629185,0.13135979566687475,0.03749238347323458,0.011808185430105709,0.10966676184643144,0.008984388933059294,0.03487243789357568,0.01784171532526277,0.3134368687487231,0.9342658300292782,0.33813594356360216,0.33559743434921624,0.10103960223645986,0.6894006486319412,0.3329949706596329,17.217179591333757,0.6826844424455897,1.0799999999999999e-47,0.0052101000000000005,1.8399573766381827e-08,0.020485953381032956,0.024770431798734175,0.023383563130451635,1.116490428528568,0.0683085083210126,0.015941661913695154,0.002813730926786842,0.021550721559539427,0.0028003307314321112,0.09162565430485974,0.012356025917682558,2.6824737413652593,0.002595793959262382,0.4125346349824552,7.735192237482444,0.09004502251125562
