p_value,correlation,rmse,r
0.009116217618259913,0.920994565605288,26555351676.52399,4851.2707553765695
0.009237408763255512,0.9204639249088192,26656272609.49666,4345.625552320287
0.007747589693563883,0.9272439953049848,31973394957.90205,5630.141638500173
0.00974194627486977,0.9182902997813172,24527639323.55123,5197.7140592129435
0.008599644285470857,0.9232958509078302,27609306671.47586,5616.408542185948
0.008700892687152042,0.9228396103977348,27868945116.860428,4979.214585040881
0.010220306885490846,0.9162793865174316,24375565833.995377,4320.66813746503
0.01023010007284078,0.9162387009225188,22549935950.190342,5476.275961722138
0.008963925811843009,0.9216662673525028,26751302778.84152,5218.010089314489
0.008772557624360702,0.9225182363279324,27223696697.541485,5390.413094718533
0.008896060855333914,0.921967380027248,27114075431.608032,5063.683673529085
0.009317644108796696,0.9201144703764664,25755094044.22002,5144.4086928220595
0.008084875710936622,0.9256570199374802,29462396423.05746,6031.646990250672
0.00935876100254774,0.9199359577138576,25505207259.72303,5241.34468906163
0.009191826917577202,0.9206631077719476,25312246301.265385,5666.677993023716
0.009168958403777554,0.920763219067392,26411230646.506855,4909.0300486124015
0.0086731567361326,0.922964334789566,27482042596.81775,5481.864150222467
0.008864941579850617,0.9221058277509552,27606681397.32536,4570.619906383735
0.010631446073734268,0.9145872633944686,23269886654.01564,4694.317962949655
0.009730057767483152,0.918340879550016,25156489736.711903,4682.088406150046
0.010068441608048274,0.9169127458763132,23434370220.339355,5334.848354230887
0.009878877787440796,0.9177098693186572,24892944552.133064,4597.283786514378
0.008159617366592065,0.9253097409026064,29875260926.09478,5297.68168220085
0.008838312877061171,0.9222244849239104,27008827891.87508,5368.876621136766
0.008910059727869107,0.9219051767073534,26944654139.829132,5202.369448381804
0.009906100292787934,0.9175949439158638,24150349333.553112,5175.943680891524
0.009240441971452898,0.9204506874076872,26142050606.6892,4980.143775831919
0.00999701517301895,0.917212234599871,24404035947.248585,4834.136512989698
0.008359233798591045,0.9243897617542496,28791558197.71697,5446.8347442690365
0.008604798505421792,0.9232725623045616,27865363594.3428,5374.505271612999
0.00819277575914333,0.925156170078514,29878771859.503662,5083.301148604079
0.009621971838571748,0.9188021158869408,24611058246.73865,5342.880647628826
0.009072771823948004,0.9211856288944824,26391883548.949463,5232.571306770816
0.010444054656684113,0.9153544989381068,23052293497.35403,5095.092340799307
0.01016134084935785,0.9165247605222062,24148491289.74783,4748.359752208994
0.008903313937913269,0.9219351453659348,26611549348.72003,5497.97424411453
0.008737472036475066,0.9226754138758604,27483108218.389668,5261.171111649048
0.009812718196995616,0.9179898180937084,24242263908.491016,5261.656332957487
0.008317727716777187,0.9245801642014791,29120316399.106537,5308.083938438565
0.008585086108486734,0.9233616666400396,27363793471.655327,5811.011238701124
0.008907983277005541,0.9219144003145996,27520054304.018387,4486.807048612719
0.008409739258558124,0.9241586955577394,27971709244.69968,5918.147772880378
0.008903220163394333,0.9219355620437841,26341316353.924385,5668.918935689424
0.009066102194816088,0.9212149995264828,25932056122.010777,5569.312426331828
0.00849612468775469,0.9237650354911706,28506978981.056408,5146.581575733937
0.008663674610935403,0.9230070189628548,27872948173.677288,5120.187960819654
0.009797377238726056,0.918054862814534,24931473803.811386,4757.898731155677
0.008740980752351765,0.922659681621304,27542830971.349632,5065.887044157548
0.008485272337872073,0.9238143825543784,27630893660.79908,5911.659534034923
0.010057677473324023,0.9169578134117152,24335490785.27909,4777.40291510636
0.009967008575634432,0.9173383609436392,24409977358.781097,4883.160140796909
0.012752737211437805,0.9063204152919442,19014780819.68036,5254.891708499104
0.00870906636570084,0.9228028914990488,27127375662.653008,5641.674718329216
0.011054470076735505,0.9128790228009316,21592107044.60865,5144.030415157509
0.008816115949869011,0.9223235270655736,26740709860.35807,5622.634390784957
0.008597344712770665,0.9233062433874716,27386879378.98895,5765.878602147924
0.009670183190561288,0.9185960738616926,24896921234.61824,5062.496053825744
0.008102418991834441,0.9255753670717959,29909597967.299664,5565.904167917671
0.009457946657098284,0.9195068959728075,25235720580.318542,5228.814935453198
0.00878644338840107,0.9224561148885996,27272697694.069344,5296.6219524143935
0.009432965946046623,0.9196147519078668,25260020089.65636,5263.163895786095
0.008901845638296109,0.9219416698557048,26982115005.661243,5188.795971423145
0.011077444517014487,0.9127871631121844,22596220025.49158,4616.606445925233
0.008688163087167241,0.9228968294450092,27809937901.28832,5095.197538754787
0.008348891369976968,0.9244371628558232,28729920925.518013,5566.9710355911975
0.009022752480499014,0.92140615249632,26612190364.144783,5169.794267942256
0.0094358929119841,0.9196021073616332,25826580310.992783,4682.552096973121
0.009135996122924848,0.9209077315043304,26403370456.390846,5029.4941591617935
0.009721813413783623,0.9183759728521008,25012151056.78721,4860.472921531635
0.008158211283101263,0.9253162597902158,29448535337.19597,5739.300664280236
0.008161729283795159,0.9252999506545292,29199526308.39773,5929.242459486187
0.009004139085592866,0.9214883662588244,26712128405.527645,5126.1634439007175
0.008900050581471376,0.9219496470243498,26365444773.099342,5661.758916405291
0.01172337844078812,0.9102412293883612,22366219371.980545,3803.1088258174095
0.009388574089060749,0.9198067597179878,25852881986.836376,4854.664569516267
0.011157958062206269,0.9124659685944788,21872067817.16917,4968.683891679038
0.008667023739708426,0.9229919401288595,27001752840.58281,5820.2157523411815
0.010074330924490536,0.9168880982409552,24233870333.638268,4830.863754474613
0.00930243172716296,0.9201806132507157,25317918636.07143,5476.62919577073
0.00831534245026339,0.9245911202607672,29221345090.662975,5208.133112084362
0.009916217375228176,0.9175522716508762,24464445778.88111,4932.263315737416
0.007977365962982418,0.9261593055177864,30842024887.72023,5365.267499412964
0.00856605798936898,0.923447772342856,28258171737.745663,5107.4927062777615
0.008204734367704523,0.9251008588613724,30143267934.31852,4562.440192949768
0.009531632835014334,0.9191895543119816,25791253188.13842,4470.9819739375325
0.009136968051103136,0.9209034667781588,26375299923.57192,5055.289376661739
0.009166200676470134,0.9207752997409376,25849417959.166256,5410.561256788778
0.008863437368170952,0.9221125258775518,25719042605.956547,6009.107543430249
