Chi-value,r,p-value
1.14e+20,4948.71274,0.0
1e+20,5439.427694,0.0
,,
,,
,,
,,
,,
,,
,,
,,
9.678675533360855e+19,5610.305555263927,0.0
1.1780188249843506e+20,5611.957875015431,0.0
8.999155078075525e+19,4852.757641174513,0.0
9.89100431888964e+19,5267.8997986315135,0.0
1.4475603411486843e+20,5494.398897802857,0.0
1.1108657704716794e+20,5062.148467660518,0.0
1.3233600705108455e+20,4832.454094350939,0.0
1.6795978925740815e+20,4555.430868362916,0.0
1.0151647449865445e+20,4649.081321494376,0.0
1.4317809463683436e+20,5190.06126283113,0.0
