S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,S_IS,S_SO4,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,X_hSRB,S_cation,S_anion,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_HS_ion,S_co2,S_H2S,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2,S_gas_H2S,pH
0.012394,0.0055432,0.10740999999999999,0.012333,0.014003,0.017584,0.08931499999999999,2.51e-07,0.05549,0.095149,0.094468,0.13087000000000001,2.51e-07,0.012394,0.10792,0.020516999999999997,0.08422,0.043629,0.31222,0.9316700000000001,0.33839,0.33576999999999996,0.10112,0.67724,0.28484,17.2162,0.67724,1.0799999999999999e-47,0.0052101000000000005,5.46e-08,0.012284,0.013953,0.017511000000000002,0.089035,0.08567999999999999,0.009468899999999999,0.009468899999999999,1.1e-05,0.001884,0.092584,1.1e-05,1.6535,0.01354,1.1e-05,7.262807357295263
0.011180180281460898,0.00395818325448619,0.1046046804998974,0.011539040054292012,0.013091750954723891,0.01726827449783944,0.08746343546611866,2.661356497836953e-06,0.05547308694905393,0.09510915540528031,0.09443473590479969,0.13081154622805943,0.0007026114111504032,0.012372902372610732,0.10845608960206041,0.014070023993179748,0.056647536135196026,0.02922234391307835,0.3121882573934009,0.9313181921558061,0.3383828706320553,0.3357511156673372,0.1011186722330145,0.6772322850863491,0.2848414357121612,17.180451385151454,0.6753999218961702,1.077730258357444e-47,0.005199150388026039,5.4273313329410825e-08,0.011493849067421204,0.013044974256660187,0.017197471615657947,0.08719112857327964,0.08568931738241582,6.896140779138329e-06,0.009419838022864488,0.0006957152703712649,0.001893152970612714,0.09254158293418698,1.105762608963539e-05,1.654896029877405,0.013552289073728659,0.00042464904483999465,7.265413664384123
0.008946741001053774,0.0026594773524417697,0.10262331001906774,0.010526093975366649,0.011997583882535448,0.018100231954746405,0.07648036779273716,0.00021365552474789226,0.07426160684296523,0.09334937767112615,0.09430718438650837,0.13075427623968638,0.00625777874076718,0.0122792350462809,0.1089806472443863,0.00976277148100732,0.03822052920361919,0.019593271500154715,0.31202273084080434,0.9302182484781261,0.3380562097265489,0.33549391365572034,0.10100548843229445,0.6771236033939132,0.29066980311666984,17.144780021916205,0.6744270300779719,1.0754652868325957e-47,0.0051882237878949165,4.5907694097892946e-08,0.010491203187417444,0.01196130415531981,0.018037417465043285,0.07627886100558134,0.08540768886425826,0.00046277114914485413,0.007941688806867894,0.005795007591622325,0.002226977986022516,0.09208020640048585,9.291655538331085e-05,1.9337254232432242,0.010931629621303361,0.024045847254029088,7.338114520906626
0.006773569957354382,0.001798283811671288,0.10816689364197775,0.013055952125558342,0.01546545399488383,0.020108670207802486,0.05493265058326524,0.0003086153854039023,0.13047278736320034,0.08681332470589793,0.09403257332350011,0.13069817201469622,0.025556045727339306,0.01197307207951828,0.10950288791583217,0.006885632737428629,0.025906095274029182,0.013157387250859204,0.3116944306059569,0.928601195365295,0.3370986414734584,0.3345642536749762,0.100717882641779,0.6766199365829902,0.31440878734283045,17.109185716876627,0.6758976953550456,1.0732050754005149e-47,0.005177320151244653,2.207622406304744e-08,0.013035105328525387,0.01544292952996086,0.020075051465620632,0.054862955203231756,0.08309759868765096,0.0046656385388127415,0.003715726018246976,0.020890407188526566,0.00450275215452702,0.0895298211689731,0.005754453635016194,2.6796203943164794,0.002109674561737193,0.15705227715183026,7.656075206704469
0.00500160540887193,0.0012254861404230738,0.11179296325976885,0.014722735650631605,0.017782704280298847,0.021564015124524397,0.04496278914897412,0.0003106600822758382,0.13782583295674194,0.07992400819461765,0.09372212037255552,0.13064323630820981,0.04472971658544697,0.011670343433450898,0.11003037102286357,0.004964356121376662,0.01767716359667415,0.008855720474683169,0.3112221035385213,0.9266414536689466,0.3361373207785603,0.3336296777470351,0.1004297279270583,0.6754268166071382,0.3403595493779336,17.073668318496466,0.6773419656339923,1.0709496140573309e-47,0.0051664394298149095,1.0477415801725638e-08,0.014711569250659681,0.017770402967679424,0.021546889801582193,0.04493569686241407,0.07826311492648726,0.01873776446713498,0.0016608932681303895,0.02599195211831199,0.008980073463426948,0.08474204690912857,0.00815447015645517,2.8022157873176052,-0.004310577622639282,0.5449403722187575,7.9797458205435445
0.003669610412109247,0.0008436049690659564,0.11406169545536525,0.015754740990718257,0.01923300359813728,0.02261078397197073,0.04093652816534093,0.0002796351245466492,0.14490611864917688,0.07258933584025125,0.09338381333044558,0.13058947795503761,0.06352484940459108,0.011374519991231083,0.11056393898120219,0.003681972846482939,0.012178899437673215,0.005980486718275456,0.31063720924223176,0.9244554198029589,0.33517897334971125,0.33270094622414886,0.10014256662807537,0.6738685428170202,0.368456562638062,17.038227687728877,0.6787148182666631,1.068698892820197e-47,0.005155581575446767,5.743720740299347e-09,0.015748188235973612,0.0192257077522323,0.02260093661336602,0.04092300243247568,0.07175455360277236,0.024451998379048524,0.0008347822374788899,0.03907285102554255,0.015127325603057021,0.07825648772738857,0.008225226953109408,2.9236484461878867,-0.007813801241481759,0.6842698139421699,8.240806683650035
0.002711887131370877,0.000588635282968241,0.11539202214849996,0.016334116817204255,0.02005309517958756,0.023367381568824078,0.03918410113960258,0.00023855708306882498,0.14798461762043538,0.06476989118843986,0.09302211200739013,0.1305369077430575,0.08188524324170587,0.011086150233034617,0.11110472142190012,0.002826632083531266,0.008505767997165237,0.0040586265514451075,0.3099699430058036,0.9221207914475209,0.3342254172570309,0.33178125315760415,0.09985683891062859,0.672154977851433,0.39879289934960466,17.002863689762506,0.6800064793581806,1.0664529017272458e-47,0.0051447465400825225,3.5690043663477497e-09,0.016329894698264326,0.02004836773878718,0.02336105687413093,0.039176055366442336,0.06430503090061204,0.037601382776295,0.00046486028782781463,0.04428386046541087,0.022071978201095518,0.07095013380629461,0.007051159937551219,2.8774037630979015,-0.00961910674757505,0.9745740886544194,8.447452920724762
0.002041292835320033,0.0004182708004503513,0.11606344849871215,0.016581229921108945,0.020403772020684743,0.02392332547739709,0.038371790031942014,0.00020483649205171617,0.15361160052796108,0.056436787244786485,0.09263999555497222,0.13048553895782747,0.0997845742717496,0.010805426013648634,0.11165408762114379,0.0022567421490791006,0.0060525363553003315,0.0027739641372102283,0.3092448126359027,0.9196894551700711,0.3332778929822533,0.33087294725545136,0.09957286801043698,0.6703713189253164,0.4314785507877253,16.967576195110045,0.6812125094509687,1.064211630837547e-47,0.005133934275765467,2.345081028237066e-09,0.01657841347905546,0.02040061119146036,0.023919070452052667,0.038366612636815726,0.05616998310571214,0.04317372151877753,0.00026680413907434475,0.05661085275297206,0.029767295428163098,0.06287270012680912,0.005854116263791845,2.9141995582881326,-0.010828070746223249,1.079883517321498,8.629842146762
0.0015795755226503856,0.0003044157773689701,0.1162719633477405,0.016586417845079963,0.020410130242140008,0.02434149993561444,0.03807358644258823,0.00017877044624704038,0.1574705844075808,0.04761681863478518,0.09223912700202971,0.13043538777351044,0.1172228671272691,0.010532200509525915,0.1122135769591775,0.001877671483096567,0.004414686598616707,0.0019151795485163425,0.30848019993652664,0.9171960696004123,0.33233667490876334,0.3299760778685107,0.09929073946274046,0.6685504730594372,0.46666491568933216,16.93236508038935,0.6823331613656213,1.0619750702310617e-47,0.00512314473463968,1.5901619888978333e-09,0.01658450735871159,0.020407986159507452,0.024338564069002505,0.03807010286555864,0.04746394393875114,0.055640713540916174,0.0001528746960340402,0.06158215358635293,0.0379240212125996,0.054315105789430114,0.004762335689971114,2.868809637165546,-0.011816196226626299,1.3073572393301964,8.798558632093993
0.0012652854885273489,0.00022835331929795192,0.11615167751812203,0.016414589911397718,0.02016450892575062,0.02466489930226859,0.03810923166427817,0.00016169055735505545,0.16414771361774358,0.03822730550302386,0.09182023641468344,0.13038647356365202,0.1342072218470273,0.010266264910352424,0.11278487807088874,0.0016261760323046494,0.003321854287418813,0.0013410348358958663,0.30768930534545663,0.9146637883594054,0.33140175556059315,0.32908994082262794,0.09901046753656262,0.6667088838143659,0.504523757419898,16.897230228944334,0.6833699437587801,1.0597432100085993e-47,0.005112377868949817,1.0698162082052563e-09,0.01641331785738171,0.02016308375753668,0.02466289781294941,0.03810688574733865,0.03814464972449734,0.06086815181612858,8.265577852652195e-05,0.07333907003089872,0.046762372898778326,0.045057863515905114,0.00403085943623317,2.9145292955846895,-0.012661933059732244,1.3837423499665595,8.970690826630962
